developer,title,release_date,recommend
Arkane Studios,Arx Fatalis,2002-11-12,True
Funcom,The Longest Journey,2000-11-17,True
Firaxis Games,Civilization IV Warlords,2006-07-24,True
PopTop,Railroad Tycoon ,2003-10-23,True
Firaxis GamesFeral Interactive Mac,Sid Meiers Railroads,2006-10-16,False
PopTop,Railroad Tycoon II Platinum,1998-10-31,False
MicroProse Software Inc,XCOM Terror From the Deep,1995-04-01,True
Crystal DynamicsFeral Interactive Mac,Tomb Raider Anniversary,2007-06-05,True
CAPCOM Co Ltd,Devil May Cry  Special Edition,2006-05-23,True
Telltale Games,Sam amp Max  Culture Shock,2006-10-17,True
id Software,Final DOOM,1996-06-17,True
Telltale Games,Sam amp Max  Situation Comedy,2006-12-20,True
id Software,Ultimate Doom,1995-04-30,True
id Software,Master Levels for Doom II,1995-06-01,True
id Software,DOOM II,1994-05-05,True
id Software,Wolfenstein D,1994-08-03,True
Gray Matter Studios,Return to Castle Wolfenstein,2001-11-20,True
Ritual Entertainment,QUAKE Mission Pack  Scourge of Armagon,1997-02-28,True
id Software,Spear of Destiny,1993-10-10,True
Terminal Reality,BloodRayne,2003-09-09,True
Rogue Entertainment,QUAKE Mission Pack  Dissolution of Eternity,2007-08-03,False
id Software,QUAKE,2007-05-31,True
Metamorf,Genesis Rising,2007-03-20,False
Relic Entertainment,Warhammer  Dawn of War  Winter Assault,2006-01-01,False
K BostonK Australia,BioShock,2007-08-21,True
Relic Entertainment,Warhammer  Dawn of War  Game of the Year Edition,2006-01-01,True
Relic Entertainment,Warhammer  Dawn of War  Dark Crusade,2006-10-09,True
The Creative Assembly,Rome Total War  Collection,2004-09-22,True
The Creative Assembly,Rome Total War  Alexander,2006-06-26,True
Big Fish Games,Mystery Case Files Madame Fate,2007-12-14,False
Rockstar North,Manhunt,2004-04-20,True
Rockstar San Diego,Midnight Club ,2003-07-01,True
Remedy Entertainment,Max Payne  The Fall of Max Payne,2003-10-14,True
Crystal Dynamics,Tomb Raider Legend,2006-04-07,True
Remedy Entertainment,Max Payne,2001-07-25,False
EA Los Angeles,Command amp Conquer Red Alert ,2008-10-28,True
Infinite Interactive,PuzzleQuest Challenge of the Warlords,2007-10-10,True
Momentum Digital Media Technologies,Culpa Innata,2007-10-23,True
GamebryoVirtual Playground,Prison Tycoon  Lockdown,2007-08-01,True
SCS Software,Hunting Unlimited ,2007-09-01,True
SCS Software, Wheels of Steel American Long Haul,2007-12-03,True
Pivotal Games,Conflict Denied Ops,2008-02-08,True
Bohemia Interactive,ARMA Combat Operations,2007-05-08,True
Spellbound,Desperados  Coopers Revenge,2006-05-02,True
Haggard Games,Death to Spies,2007-10-16,True
Eugen Systems,Act of War High Treason,2006-05-30,True
FrontierAspyr Mac,RollerCoaster Tycoon  Platinum,2006-10-26,True
Eugen Systems,Act of War Direct Action,2005-03-14,True
Epic Games Inc,Unreal  The Awakening,2003-02-03,True
Epic Games Inc,Unreal Gold,1998-04-30,True
Sanzaru Games,Ninja Reflex Steamworks Edition,2008-03-21,False
Ubisoft,Tom Clancys Splinter Cell,2003-02-18,False
Crytek Studios,Far Cry,2004-03-23,True
Epic Games Inc,Unreal Tournament Game of the Year Edition,2000-10-25,True
Ubisoft Montreal,Tom Clancys Rainbow Six Vegas,2006-12-12,False
Ubisoft,Silent Hunter III,2005-03-15,True
Last Day of Work,Virtual Villagers  The Secret City,2008-05-28,True
SpinTop Games,Mystery PI  The Vegas Heist,2008-06-04,True
MumboJumbo,Luxor,2008-06-10,False
MumboJumbo,Reaxxion,2008-06-10,True
MumboJumbo,Little Farm,2008-06-10,True
MumboJumbo, Wonders II,2008-06-10,False
MumboJumbo,Luxor Amun Rising,2005-12-08,True
MumboJumbo,Luxor ,2007-11-13,False
Ubisoft,Petz Horsez ,2007-11-13,True
MumboJumbo,Luxor ,2005-12-08,True
Ubisoft BulgariaUbisoft Montpellier,Rayman Raving Rabbids,2007-03-27,True
Ubisoft Romania,Silent Hunter Wolves of the Pacific,2007-03-20,True
C Maddox Games,IL Sturmovik ,2006-12-15,True
Ubisoft Romania,Silent Hunter Wolves of the Pacific UBoat Missions,2008-03-24,True
Telltale Games,Bone Out From Boneville,2005-09-15,True
MerscomBabylon,Midnight Outlaw  Hours to SunUp,2005-07-02,True
Telltale Games,Bone The Great Cow Race,2006-04-12,False
BigAnt Studios,Sprint Cars Road to Knoxville,2008-07-29,False
Gabriel Entertainment,Ride Carnival Tycoon,2007-07-02,True
Zemnott,Mahjongg Investigations Under Suspicion,2007-08-08,True
Frogwares,Dracula Origin,2008-05-20,True
Frogwares,Sherlock Holmes  Nemesis,2008-04-14,False
Luc BernardSilverSphereStudios,Eternitys Child,2008-07-31,True
Lesta Studio,Pacific Storm Allies,2007-05-25,False
Dialogue Design,Tank Universal,2008-08-21,True
Bugbear Entertainment,FlatOut Ultimate Carnage,2008-08-19,True
Oddworld Inhabitants,Oddworld Abes Exoddus,1998-11-17,True
Oddworld Inhabitants,Oddworld Abes Oddysee,1997-12-12,True
SimBin,GTR Evolution Expansion Pack for RACE ,2008-09-01,True
MicroProse Software Inc,XCOM Enforcer,2001-04-19,True
MicroProse Software Inc,XCOM Apocalypse,1997-07-15,True
MicroProse Software Inc,XCOM UFO Defense,1993-12-31,True
GSC Game World,STALKER Clear Sky,2008-09-15,True
Crytek,Crysis Warhead,2008-09-17,True
Crytek,Crysis,2007-11-13,False
MicroProse Software Inc,XCOM Interceptor,1998-06-15,True
CD PROJEKT RED,The Witcher Enhanced Edition Directors Cut,2008-09-16,True
Introversion Software,Multiwinia,2008-09-19,False
SimBin,STCC  The Game   Expansion Pack for RACE ,2008-10-22,True
Tilted Mill Entertainment Inc,Children of the Nile Alexandria,2008-08-28,True
Firaxis Games,Sid Meiers Civilization IV Colonization,2008-09-23,False
Red Storm EntertainmentUbisoft Montreal,Tom Clancys Rainbow Six  Gold,2003-03-18,True
Travellers Tales,LEGO Batman,2008-09-29,True
Monte Cristo,City Life ,2008-07-18,True
Tilted Mill Entertainment Inc,Hinterland,2008-09-30,True
Gearbox Software,Brothers in Arms Hells Highway,2008-10-08,False
Dark Castle Software,Gravitron ,2008-08-31,True
Techland,Xpand Rally Xtreme,2006-12-01,True
Nival,Heroes of Might amp Magic V Hammers of Fate,2006-11-14,True
Gearbox Software,Brothers in Arms Earned in Blood,2005-10-04,True
Nival,Heroes of Might amp Magic V Tribes of the East,2007-10-16,False
Blue Byte,The Settlers Rise Of An Empire Gold Edition,2008-04-18,True
Ubisoft,Brain Spa,2007-09-25,True
Red Storm Entertainment,The Sum of All Fears,2002-05-31,False
PopCap Games Inc,Peggle Nights,2008-10-15,True
D BOY,World of Goo,2008-10-13,True
Egosoft,X Terran Conflict,2008-10-16,True
Sandstorm Productions,Mare Nostrum,2008-10-17,True
Shorebound Studios,Spectraball,2008-10-20,True
Perpetual FX Creative,Galactic Bowling,2008-10-21,False
Rockstar New England,Bully Scholarship Edition,2008-10-21,True
Ubisoft Montreal,Far Cry  Fortunes Edition,2008-10-22,True
Meridian,Space Trader Merchant Marine,2008-10-23,True
RailSimulatorcom,PRR Wagon Pack ,2009-01-01,True
RailSimulatorcom,Class  London South East Jaffa Cake,2009-01-01,True
RailSimulatorcom,ATSF Wagon Pack ,2009-01-01,True
Reppo,GP Union Pacific Addon Livery,2009-01-01,True
RailSimulatorcom,UK Van Wagon Pack,2009-01-01,True
Dovetail Games,CSX SDMAC Addon Livery,2009-01-01,True
Dovetail Games,CSX ESAC Addon Livery,2009-01-01,True
Volition,Saints Row ,2009-01-28,True
EA Redwood Shores,Dead Space,2008-10-20,False
Liquid Entertainment,Rise of the Argonauts,2008-12-16,True
DICE,Mirrors Edge,2009-01-13,True
Hidden Path Entertainment,Defense Grid The Awakening,2008-12-08,False
Monolith,FEAR  Project Origin,2009-02-12,True
Oxeye Game Studio,Harvest Massive Encounter,2008-03-05,True
Inventive Dingo,Mayhem Intergalactic,2007-07-04,True
Meridian,Larva Mortus,2009-03-19,True
Black Sea Studios Ltd,Knights of Honor,2005-05-10,True
Realmforge Studios,Ceville,2009-02-27,True
The Creative AssemblyFeral Interactive MacFeral Interactive Linux,Empire Total War  Special Forces Units amp Bonus Content,2009-03-04,False
Deadline Games,Watchmen The End is Nigh,2009-03-04,True
Frictional Games,Penumbra Overture,2007-03-30,True
Epic Games Inc,Unreal Tournament  Black,2007-11-19,True
Radon Labs,Drakensang,2009-02-27,True
Tale of Tales,The Graveyard,2008-03-21,True
Criterion Games,Burnout Paradise The Ultimate Box,2009-02-03,True
Twisted Pixel Games,The Maw,2009-03-09,True
Twisted Pixel Games,The Maw River Redirect,2009-03-16,True
Twisted Pixel Games,The Maw Brute Force,2009-03-16,True
IonFX,Obulis,2009-03-19,False
Llamasoft LTD,Space Giraffe,2009-03-19,True
InnoGlowStormregionTHQ Nordic,Codename Panzers  Cold War,2009-03-10,False
SpinTop Games,Escape Rosecliff Island,2009-04-15,True
ArenaNet,Guild Wars Nightfall,2006-10-27,True
ArenaNet,Guild Wars Game of the Year Edition,2005-04-28,False
ArenaNet,Guild Wars Factions,2006-04-28,True
ArenaNet,Guild Wars Trilogy,2008-09-25,True
Infinite Interactive,Puzzle Kingdoms,2009-04-16,True
MumboJumbo,Samantha Swift and the Golden Touch,2009-04-29,True
Reality Pump Studios,Two Worlds Epic Edition,2009-04-30,True
Spellbound,Helldorado,2009-04-30,True
Gaijin Entertainment,XBlades,2009-02-10,True
ACE Team,Zeno Clash,2009-04-21,True
Twisted Pixel Games,The Maw Speeder Lane,2009-04-29,True
C Company,Kings Bounty The Legend,2008-09-23,True
Last Day of Work,Virtual Families,2009-05-06,False
Sky Fallen,Death Track Resurrection,2009-05-06,True
Irrational Games,Freedom Force vs the Third Reich,2005-03-08,True
Irrational Games,Freedom Force,2002-03-26,True
SaintXi,Light of Altair,2009-06-04,True
Darklight Games,Darkest Hour Europe ,2009-06-09,False
Radical Entertainment,Prototype,2009-06-10,True
Erik Svedng,Blueberry Garden,Jun 2009,False
Ascaron Entertainment ltd,Port Royale ,2004-04-30,True
Bethesda Game Studios,The Elder Scrolls IV Oblivion Game of the Year Edition,2007-09-11,False
Bethesda Game Studios,The Elder Scrolls III Morrowind Game of the Year Edition,2002-04-29,True
Deck ,Ankh  Heart of Osiris,2007-05-18,True
NovaLogic,Armored Fist ,1999-09-01,True
NovaLogic,MiG Fulcrum,1998-09-07,True
Mascot Entertainment,BC Kings,2008-09-15,True
Techland,Call of Juarez Bound in Blood,2009-06-30,True
HeR Interactive,Nancy Drew Legend of the Crystal Skull,2007-10-01,True
HeR Interactive,Nancy Drew The Creature of Kapu Cave,2006-10-01,True
HeR Interactive,Nancy Drew The Phantom of Venice,2008-07-01,True
HeR Interactive,Nancy Drew The White Wolf of Icicle Creek,2007-07-01,True
Digital Eel,BRAINPIPE A Plunge to Unhumanity,2008-12-24,False
Telltale Games,Tales of Monkey Island Complete Pack,2009-07-07,False
Capcom,Street Fighter IV,2009-07-07,True
Frontier,Thrillville Off the Rails,2007-10-09,True
LucasArts,Indiana Jones and the Fate of Atlantis,1992-06-01,False
Planet Moon Studios,Armed and Dangerous,2003-12-02,True
Pandemic Studios,Star Wars Battlefront  Classic ,2005-11-01,True
LucasArts,Indiana Jones and the Last Crusade,1989-07-01,False
Travellers Tales,LEGO Indiana Jones The Original Adventures,2008-06-03,True
LucasArts,The Secret of Monkey Island Special Edition,2009-07-15,False
GFI Russia,Warfare,2008-11-20,True
Targem Games,Clutch,2009-06-02,True
HeR Interactive,Nancy Drew Ransom of the Seven Ships,2009-07-21,True
Wanako Games,D Ultra Minigolf Adventures,2006-12-20,True
Sierra,Kings Quest Collection,2006-09-01,True
Saber Interactive,TimeShift,2007-10-30,True
Sierra,Space Quest Collection,2006-09-01,True
Tripwire Interactive,Killing Floor Outbreak Character Pack,2009-07-24,True
Artech Studios,Aces of the Galaxy,2008-06-04,True
PopTop SoftwareBreakAway GamesFrog City Software,Tropico Reloaded,2009-07-24,True
SpinTop Games,Mystery PI  Lost in Los Angeles,2009-07-27,True
Capcom,Bionic Commando Rearmed,2008-08-14,True
Capcom,Bionic Commando,2009-07-28,True
Deadline Games,Watchmen The End is Nigh Part ,2009-07-29,True
Sakari Indie,Foreign Legion Buckets of Blood,2009-08-04,True
BioWareAspyr Mac,STAR WARS  Knights of the Old Republic,2003-11-19,True
Hemisphere Games,Osmos,2009-08-18,True
Black Isle Studios,Fallout  A Post Nuclear Role Playing Game,1998-12-01,True
 East,Fallout Tactics Brotherhood of Steel,2001-03-01,True
Xatrix Entertainment,Kingpin  Life of Crime,1999-06-01,True
Telltale Games,Tales of Monkey Island Complete Pack Chapter   The Siege of Spinner Cay,2009-08-20,True
iWin,Jewel Quest Pack,2009-08-24,True
iWin,Mahjong Quest Collection,2009-08-24,True
Size Five Games,Time Gentlemen Please and Ben There Dan That Special Edition  Double Pack,2009-06-22,True
Ubisoft Montreal,Tom Clancys Splinter Cell Chaos Theory,2005-03-29,True
Unicorn Games Studio,XIII Century  Gold Edition,2009-08-28,True
Blue Fang,World of Zoo,2009-10-30,True
IO Interactive,Mini Ninjas,2009-09-08,False
Vectorpark Inc,Windosill,2009-05-26,False
All Aboard,Train Simulator Colton amp Northern Route AddOn,2009-09-25,True
MumboJumbo,Midnight Mysteries,2009-09-28,True
Telltale Games,Tales of Monkey Island Complete Pack Chapter   Lair of the Leviathan,2009-09-07,True
NovaLogic,Joint Operations Combined Arms Gold,2009-08-18,True
Dovetail Games,Train Simulator US Loco amp Asset Pack,2009-10-01,True
PlayFirst,DinerTown Tycoon,2009-09-30,True
Dovetail Games,Train Simulator European Loco amp Asset Pack,2009-10-01,True
Piranha Bytes,Risen,2009-10-30,True
Honeyslug,Floras Fruit Farm,2009-10-01,True
The Creative AssemblyFeral Interactive MacFeral Interactive Linux,Empire Total War  The Warpath Campaign,2009-10-05,True
Amanita Design,Machinarium,2009-10-16,False
EA Los Angeles,Medal of Honor Airborne,2007-09-04,True
Slightly Mad Studios,Need for Speed Shift,2009-09-15,True
Runic Games,Torchlight,2009-10-27,True
EA Los Angeles,Command amp Conquer Red Alert   Uprising,2009-03-12,False
FireFly Studios,The Stronghold Collection,2009-10-27,True
Nitro Games,East India Company Privateer,2009-10-27,False
Homegrown Games,Painkiller Resurrection,2009-10-27,True
PhenomicTHQ Nordic,SpellForce   Anniversary Edition,2009-10-29,True
Animation Arts,Secret Files Tunguska,2009-10-29,True
Stormregion,Rush for Berlin Gold,2009-10-29,True
Telltale Games,Tales of Monkey Island Complete Pack Chapter   The Trial and Execution of Guybrush Threepwood,2009-10-07,False
C Company,Men of War Red Tide,2009-11-01,True
Konstantin Koshutin,Hammerfight,2009-09-19,True
Phenomic,SpellForce  Platinum Edition,2009-11-03,True
Wargamingnet,Massive Assault Phantom Renaissance,2005-03-03,True
Wargamingnet,Massive Assault,2003-10-28,False
Croteam,Serious Sam HD The First Encounter,2009-11-24,True
Animation Arts,Secret Files  Puritas Cordis,2009-10-29,True
BioWare,Dragon Age Origins,2009-11-06,True
Citeremis Inc,Aztaka,2009-05-07,True
Yullaby,Magnetis,2009-11-05,False
Crystal Empire Games,For The Glory A Europa Universalis Game,2009-11-11,True
Infinity WardAspyr Mac,Call of Duty Modern Warfare ,2009-11-12,True
Travellers TalesFeral Interactive Mac,LEGO Star Wars  The Complete Saga,2009-11-12,True
Triumph StudiosVirtual Programming,Overlord,2007-06-26,True
Triumph StudiosVirtual Programming,Overlord Raising Hell,2008-02-15,False
EA Los Angeles,Command amp Conquer  Tiberium Wars,2007-03-28,True
KranX Productions,Yumsters  Around the World,2008-07-23,True
EA Los Angeles,Command amp Conquer  Kanes Wrath,2009-11-13,True
Positech Games,Gratuitous Space Battles,2009-11-16,True
Gaijin Entertainment,Wings of Prey,2009-12-25,True
inXile Entertainment,The Bards Tale,2005-06-17,False
Defence Alliance Team,Defence Alliance ,2009-10-22,True
LucasArtsAspyr Studios,STAR WARS  The Force Unleashed Ultimate Sith Edition,2009-11-03,False
Bethesda Game Studios,Fallout  Game of the Year Edition,2009-10-13,True
Positech Games,Gratuitous Space Battles The Tribe,2009-12-16,True
Hip Soft,BuildALot,2007-10-02,True
Hip Soft,BuildALot  Town of the Year,2008-04-29,True
Hip Soft,BuildALot  Passport to Europe,2009-01-24,True
iWin,Coconut Queen,2009-12-17,True
Spidermonk Entertainment,Roogoo,2009-12-17,True
Capcom,Devil May Cry ,2008-07-08,True
ClockStone Studios,Avencast Rise of the Mage,2010-03-17,True
Hip Soft,BuildALot  Power Source,2009-08-12,True
Octoshark Studios,Pirates Vikings and Knights II,2010-02-12,True
Alawar,Farm Frenzy ,2008-08-27,True
Alawar,Farm Frenzy  American Pie,2010-01-06,True
Alawar,Farm Frenzy ,2009-09-11,True
Alawar,Farm Frenzy,2007-12-07,False
Alawar,Farm Frenzy Pizza Party,2009-02-18,True
Sandlot Games,Cake Mania Main Street,2010-02-16,True
Sandlot Games,Westward IV All Aboard,2010-02-16,True
Cateia Games,Iron Roses,2010-02-16,True
Chaos Concept,UFO Extraterrestrials Gold,2010-02-17,True
Travellers Tales,LEGO Indiana Jones  The Adventure Continues,2010-02-18,True
New Star Games Ltd,Super Laser  Racer,2010-02-18,True
Paradox Interactive,Hearts of Iron III Soviet Infantry Pack DLC,2010-02-18,True
The Farm ,NecroVisioN Lost Company,2010-02-19,True
Awem Studio,Cradle of Persia,2007-12-01,True
Rebellion,Aliens vs Predator Swarm Map Pack,2010-03-18,False
Croteam,Serious Sam Classic The First Encounter,2001-03-21,True
All Aboard,Train Simulator Fort Kent to Eagle Lake Route AddOn,2010-03-19,True
TaleWorlds Entertainment,Mount amp Blade Warband,2010-03-31,True
ZoopTEK,Coniclysm,2010-03-26,True
Beatnik Games,Plain Sight,2010-04-05,True
Fatshark,Lead and Gold Gangs of the Wild West,2010-04-08,True
Rockstar North  Toronto,Grand Theft Auto Episodes from Liberty City,2010-04-12,True
Other Ocean Interactive,Dark Void Zero,2010-04-12,True
Nemesys Games,Fortix,2010-04-14,True
Cold Beam Games,Beat Hazard,2010-04-15,False
Telltale Games,Sam amp Max The Devils Playhouse,2010-04-15,False
Realmforge Studios,MUD TV,2010-04-19,True
Gaijin Entertainment,Wings of Luftwaffe Addon,2010-04-19,True
The Odd Gentlemen,The Misadventures of PB Winterbottom,2010-04-20,True
THQ Nordic,AquaNox  Revelation,2003-08-19,True
THQ Nordic,AquaNox,2001-11-30,True
Red Chain Games Ltd,Fluttabyes,2010-04-20,True
Big Fish Games,Hidden Expedition Titanic,2006-07-19,True
Big Fish Games,Hidden Expedition Amazon,2008-06-19,True
The Creative AssemblyFeral Interactive Mac,Napoleon Total War  Coalition Battle Pack,2010-05-05,True
Sarbakan,Fitness Dash,2008-12-31,True
PlayFirst,Gemini Lost,2009-09-24,True
Absolutist Ltd,DinerTown Detective Agency,2009-07-27,True
PlayFirst,Hotel Dash Suite Success,2009-12-24,True
PlayFirst,Nightshift Legacy The Jaguars Eye,2010-03-19,True
PlayFirst,The Nightshift Code,2008-02-11,True
PlayFirst,TriJinx A Kristine Kross Mystery,2007-12-31,True
PlayFirst,Valerie Porter and the Scarlet Scandal,2009-12-21,True
G Entertainment,Biozone,2010-05-07,True
Climax Studios,Rocket Knight,2010-05-11,True
Muse Games,Flight of the Icarus,2010-05-12,True
Ideas Pad,Puzzler World,2010-05-28,True
Ubisoft,Prince of Persia The Forgotten Sands Digital Deluxe Edition,2010-06-08,True
Kokakiki,Ziro,2010-05-28,True
SEGA,Altered Beast,2010-06-01,True
SEGA,Comix Zone,2010-06-01,True
DT Limited,SEGA Mega Drive and Genesis Classics,2010-06-01,True
SEGA,Golden Axe,2010-06-01,True
SEGA,Ecco the Dolphin,2010-06-01,True
SEGA,Gain Ground,2010-06-01,False
SEGA,Shinobi III Return of the Ninja Master,2010-06-01,True
SEGA,Crack Down,2010-06-01,True
SEGA,VectorMan,2010-06-01,False
SEGA,Shadow Dancer,2010-06-01,True
SEGA,Space Harrier II,2010-06-01,True
Obsidian Entertainment,Alpha Protocol,2010-06-01,
Team Software Ltd,Alien Breed Impact,2010-06-03,True
Bethesda Game Studios,Fallout   Point Lookout,2010-07-16,True
Hidden Path Entertainment,Defense Grid Resurgence Map Pack ,2010-06-02,False
Bethesda Game Studios,Fallout   Mothership Zeta,2010-07-16,True
Bethesda Game Studios,Fallout   Broken Steel,2010-07-16,True
Bethesda Game Studios,Fallout   The Pitt,2010-07-16,True
Valve,Alien Swarm,2010-07-19,True
Bethesda Game Studios,Fallout   Operation Anchorage,2010-07-16,False
EA  MaxisAspyr Mac,SimCity  Deluxe Edition,2003-09-22,True
Akelladat,Disciples III  Renaissance Steam Special Edition,2010-07-16,True
Arcen Games LLC,Tidalis,2010-07-16,True
Invent Entertainment,Razor Hidden Skies,2010-07-19,True
Blue Byte,The Settlers  Uncharted Land Map Pack,2010-07-21,True
Dagger Games,Dimensity,2008-12-08,False
IO Interactive,Kane amp Lynch  Dog Days,2010-08-17,True
Rune Forge,The Guild II Renaissance,2010-07-28,True
Paradox Interactive,Hearts of Iron III DLC German II Spritepack,2010-07-26,True
NV Games,Trainz Simulator DLC Blue Comet,2010-08-06,True
InoCo,Fantasy Wars,2010-08-06,True
K CzechFeral Interactive Mac,Mafia II,2011-03-22,True
Dovetail Games,Train Simulator Network Southeast Class  Loco AddOn,2010-08-06,True
Infinite Interactive,Puzzle Quest ,2010-08-12,True
doublesix,Burn Zombie Burn,2010-08-12,True
Playbrains,Madballs BDI Clan Skins,2010-08-16,True
Playbrains,Madballs Scorched Evolution Skin Rollup,2010-08-16,True
Playbrains,Madballs BDI Evolution Skin Rollup,2010-08-16,True
Playbrains,Madballs Holiday Skin Rollup,2010-08-16,False
Paradox Development Studio,Victoria I Complete,2010-08-20,True
VStep,Ship Simulator Extremes,2010-08-27,True
Team Digital Ltd,Worms Reloaded,2010-08-26,True
Muzzy Lane Software,Making History II The War of the World,2010-06-22,True
Bohemia Interactive,Arma  British Armed Forces,2010-08-27,True
Paradox Development Studio,Victoria II,2010-08-30,True
Playbrains,Madballs Scorched Clan Skins,2010-08-16,True
IO Interactive,Kane amp Lynch  The Doggie Bag,2010-08-31,True
IO Interactive,Kane amp Lynch  Multiplayer Masks Pack,2010-08-31,True
NV Games,Trainz Classic Cabon City,2010-09-01,True
IO Interactive,Kane amp Lynch  Alliance Weapon Pack,2010-08-31,True
GSC Game World,Cossacks Back to War,2002-11-01,True
Revolution Software Ltd,Broken Sword Directors Cut,2010-09-02,True
Zo Mode,Chime,2010-09-06,False
K CzechFeral Interactive Mac,Mafia II DLC Jimmys Vendetta,2010-09-06,True
City Interactive,Sniper Ghost Warrior  Map Pack,2010-09-08,True
Terry Cavanagh,VVVVVV,2010-09-07,True
Blue Byte,The Settlers  Conquest  The Empire Expansion DLC,2010-09-08,False
Frictional Games,Amnesia The Dark Descent,2010-09-08,True
EasyGameStation,Recettear An Item Shops Tale,2010-09-10,True
Dedication Games,Swarm Arena,2010-08-19,False
SEGA,Super Thunder Blade,2010-09-13,True
SEGA,Galaxy Force II,2010-09-13,True
exosyphen studios,Hacker Evolution,2010-09-14,True
exosyphen studios,Hacker Evolution Untold,2010-09-14,True
Subsoap,Faerie Solitaire,2010-09-17,True
Gaming Minds Studios,Patrician IV  Steam Special Edition,2010-09-17,False
SEGA,Bonanza Bros,2010-09-13,True
Katauri Interactive,Kings Bounty Crossworlds,2010-09-17,False
Dovetail Games,Train Simulator Green amp Gold HST DMU AddOn,2010-09-17,False
Firaxis GamesAspyr Mac Linux,Sid Meiers Civilization V,2010-09-21,True
Nitro Games,Commander Conquest of the Americas  Colonial Navy,2010-09-21,True
Croteam,Serious Sam Classic The Second Encounter,2002-02-05,False
Blind Mind Studios,Star Ruler,2010-09-20,True
Krome Studios,Blade Kitten,2010-09-22,False
Team Digital Ltd,Alien Breed  Assault,2010-09-22,True
Vigil Games,Darksiders,2010-09-23,True
Egosoft,X Beyond the Frontier,1999-07-01,True
NeoCoreGames,The Kings Crusade,2010-10-08,True
ArenaNet,Guild Wars Eye of the North,2007-08-31,False
Egosoft,X Tension,2000-06-01,True
Triumph Studios,Age of Wonders II The Wizards Throne,Oct 2010,True
I Sioux Game Productions BV,Governor of Poker ,2010-10-11,True
I Sioux Game Productions BV,Governor of Poker   Premium Edition,2010-10-11,False
Triumph Studios,Age of Wonders Shadow Magic,Oct 2010,False
Triumph Studios,Age of Wonders,Oct 2010,True
Electronic Arts,Medal of Honor,2010-10-12,True
Headup GamesSilent Dreams,Grotesque Tactics Evil Heroes,2010-10-15,False
CAPCOM CO LTD,Lost Planet ,2010-10-15,False
Stickmen Studios,Doc Clock The Toasted Sandwich of Time,2010-10-15,False
Obsidian Entertainment,Fallout New Vegas,2010-10-19,True
Dmytry Lavrov,The Polynomial  Space of the music,2010-10-15,True
Ivy Games,Puzzle Bots,2010-10-22,True
Noumenon Games,Nimbus,2010-10-25,True
Firaxis GamesAspyr Mac Linux,Civilization V  Babylon Nebuchadnezzar II,2010-10-25,True
Hothead Games,DeathSpank,2010-10-25,False
SEGA,Virtua Fighter ,2010-10-26,True
SEGA,Columns III,2010-10-26,True
SEGA,Sword of Vermilion,2010-10-26,True
